Discharge of water by farm type; discharge; region and time;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
 ; ; ;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
115 Freshwater aquaculture;;;;;;;;;;;;;;;;;
 ;SP Wastewater, 1,000 m3;;;;;;;;;;;;;;;;
 ; ;482 Langeland;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;410 Middelfart;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;480 Nordfyns;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;450 Nyborg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;461 Odense;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;479 Svendborg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;492 Ærø;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;530 Billund;..;58;53;57;54;54;38;45;39;40;32;30;33;23;26
 ; ;561 Esbjerg;..;30;35;35;27;46;8;12;43;26;15;12;12;14;25
 ; ;563 Fanø;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;607 Fredericia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;510 Haderslev;..;14;7;8;8;7;23;8;14;12;8;8;3;4;5
 ; ;621 Kolding;..;2;..;2;3;2;2;1;1;..;..;1;1;1;1
 ; ;540 Sønderborg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;550 Tønder;..;0;0;0;0;0;0;0;..;..;..;..;..;..;..
 ; ;573 Varde;..;66;44;54;57;50;33;36;36;38;42;32;21;25;21
 ; ;575 Vejen;..;63;64;58;66;53;106;63;66;71;75;62;26;28;37
 ; ;630 Vejle;..;68;62;45;55;55;63;60;50;58;36;33;32;29;36
 ; ;580 Aabenraa;..;11;4;5;19;7;18;5;4;4;3;3;4;7;3
 ; ;082 Region Midtjylland;..;80;71;71;70;81;366;353;309;293;281;289;276;252;300
 ; ;710 Favrskov;..;13;..;3;5;7;2;15;8;11;11;12;15;15;13
 ; ;766 Hedensted;..;19;18;17;14;7;7;7;5;6;6;8;7;11;12
 ; ;615 Horsens;..;1;..;..;..;1;1;1;1;1;0;..;..;..;..
 ; ;707 Norddjurs;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;727 Odder;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;730 Randers;..;0;0;0;0;0;0;0;0;0;1;1;1;1;1
 ; ;741 Samsø;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;740 Silkeborg;..;27;17;14;21;11;15;16;16;18;12;18;15;11;18
 ; ;746 Skanderborg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;706 Syddjurs;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;751 Aarhus;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;657 Herning;..;81;60;56;59;60;61;53;47;40;30;28;26;29;26
 ; ;661 Holstebro;..;100;54;72;77;89;104;69;58;54;57;61;49;48;53
 ; ;756 Ikast-Brande;..;70;43;36;49;31;39;34;34;31;34;32;33;26;27
 ; ;665 Lemvig;..;9;6;7;8;6;7;6;6;6;5;5;7;5;14
 ; ;760 Ringkøbing-Skjern;..;74;68;59;66;72;89;110;103;85;99;96;91;77;91
 ; ;779 Skive;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;671 Struer;..;3;2;1;4;3;2;3;3;3;2;0;0;..;..
 ; ;791 Viborg;..;48;41;33;26;32;38;39;27;38;23;29;32;30;45
 ; ;081 Region Nordjylland;..;445;304;298;328;320;87;67;69;62;66;42;36;40;45
 ; ;810 Brønderslev;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;813 Frederikshavn;..;4;3;1;1;1;1;1;1;..;..;..;..;..;..
 ; ;860 Hjørring;..;6;3;6;7;8;8;8;7;9;11;4;2;3;4
 ; ;849 Jammerbugt;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;825 Læsø;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;846 Mariagerfjord;..;2;3;3;4;4;5;4;5;0;4;4;1;2;2
 ; ;773 Morsø;..;7;5;6;7;4;7;6;6;5;5;..;..;..;..
 ; ;840 Rebild;..;25;18;19;11;20;24;11;15;13;15;13;13;13;17
 ; ;787 Thisted;..;..;3;4;4;2;2;1;0;..;..;..;..;..;..
 ; ;820 Vesthimmerlands;..;14;13;13;13;19;18;12;15;20;19;15;17;19;17
 ; ;851 Aalborg;..;23;23;19;22;22;23;24;19;15;14;6;4;4;4
 ;FO Phosphorus, tonnes total P;;;;;;;;;;;;;;;;
 ; ;000 All Denmark;..;74;53;55;61;55;64;54;51;52;48;37;34;31;31
 ; ;084 Region Hovedstaden;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;101 Copenhagen;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;147 Frederiksberg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;155 Dragør;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;185 Tårnby;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;165 Albertslund;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;151 Ballerup;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;153 Brøndby;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;157 Gentofte;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;159 Gladsaxe;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;161 Glostrup;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;163 Herlev;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
