"Forbrug af vand (Fysiske vandregnskab) efter vandtype, branche og tid"

" "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
" ","V78000 78000 Arbejdsformidling og vikarbureauer",2,1,4,4,4,4,11,13,3,2,2,6,2,2,1
" ","V780000 780000 Arbejdsformidling og vikarbureauer",2,1,4,4,4,4,11,13,3,2,2,6,2,2,1
" ","V79000 79000 Rejsebureauer",1,15,21,3,10,14,15,5,3,2,1,1,1,10,10
" ","V790000 790000 Rejsebureauer",1,15,21,3,10,14,15,5,3,2,1,1,1,10,10
" ","V80820 80820 Rengøring og anden operationel service",305,319,441,581,584,669,584,504,729,757,394,277,374,341,340
" ","V800000 800000 Vagt og sikkerhedstjeneste",3,4,3,2,6,2,2,2,3,2,2,3,2,2,2
" ","V810000 810000 Ejendomsservice, rengøring og anlægsgartnere",91,87,78,88,91,161,191,93,122,138,111,124,183,123,123
" ","V820000 820000 Anden operationel service",212,228,359,491,488,506,391,409,604,616,281,151,189,215,214
" ","VO_Q O_Q Offentlig administration, undervisning og sundhed",18261,17238,17651,17103,17981,19117,20495,17048,16668,16128,16475,17199,17952,18848,17148
" ","VO O Offentlig administration, forsvar og politi",1211,1273,1191,1091,910,892,1188,879,648,420,446,617,850,636,604
" ","V84202 84202 Offentlig administration mv.",1033,1133,1051,946,732,780,967,695,531,401,424,555,834,623,590
" ","V840010 840010 Offentlig administration",294,330,278,221,200,258,353,221,231,192,202,157,371,236,246
" ","V840022 840022 Forsvar, politi og retsvæsen mv., ikke-markedsmæssig",740,802,773,724,532,522,614,474,300,209,222,398,463,387,344
" ","V84101 84101 Redningskorps mv., markedsmæssig",178,140,140,145,177,112,221,184,117,20,22,62,16,14,14
" ","V840021 840021 Redningskorps mv., markedsmæssig",178,140,140,145,177,112,221,184,117,20,22,62,16,14,14
" ","VP P Undervisning",6259,6102,6186,6185,6585,7044,7464,6132,6067,5778,5775,5844,5999,6239,6207
" ","V85202 85202 Undervisning, ikke-markedsmæssig",6068,5793,5938,5960,6347,6777,7224,5972,5895,5640,5662,5765,5908,6143,6110
" ","V850010 850010 Grundskoler",3253,2981,3099,3010,3182,3394,3645,3063,3009,2896,2931,2791,2863,2983,2948
" ","V850020 850020 Gymnasier og erhvervsfaglige skoler",1210,1149,1229,1185,1255,1289,1351,1109,1095,1059,1113,1069,1064,1102,1078
" ","V850030 850030 Videregående uddannelsesinstitutioner",1420,1325,1363,1566,1702,1840,1961,1641,1640,1575,1535,1854,1925,2000,2027
" ","V850042 850042 Voksenundervisning mv., ikke-markedsmæssig",184,338,247,200,208,254,267,159,150,111,82,51,57,58,57
" ","V85101 85101 Voksenundervisning mv., markedsmæssig",191,309,248,225,238,267,240,160,172,138,114,80,91,96,97
" ","V850041 850041 Voksenundervisning mv., markedsmæssig",191,309,248,225,238,267,240,160,172,138,114,80,91,96,97
" ","VQ Q Sundhed og socialvæsen",10791,9863,10274,9827,10487,11181,11843,10036,9953,9930,10254,10738,11102,11972,10338
" ","VQA QA Sundhedsvæsen",3392,3070,3189,2915,3183,3411,3487,2990,2975,3141,3293,4047,4254,4794,3200
" ","V86000 86000 Sundhedsvæsen",3392,3070,3189,2915,3183,3411,3487,2990,2975,3141,3293,4047,4254,4794,3200
" ","V860010 860010 Hospitaler",3285,2987,3084,2849,3046,3236,3403,2920,2911,2855,3123,4006,4197,4682,3089
" ","V860020 860020 Læger, tandlæger mv.",107,84,105,66,137,175,84,70,64,286,170,40,57,112,111
" ","VQB QB Sociale institutioner",7399,6792,7085,6912,7304,7770,8356,7046,6978,6789,6961,6691,6848,7179,7137
