"Discharge of wastewater (Physical water accounts) by discharge,"
"industry and time"

" "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
" ","V95000 95000 Repair of personal goods",14,14,12,13,13,14,10,9,6,8,8,8,15,5,5
" ","V950000 950000 Repair of personal goods",14,14,12,13,13,14,10,9,6,8,8,8,15,5,5
" ","V96000 96000 Other personal service activities",1355,1378,1404,1206,1246,1261,1334,1183,1074,1036,1065,825,920,1084,1070
" ","V960000 960000 Other personal service activities",1355,1378,1404,1206,1246,1261,1334,1183,1074,1036,1065,825,920,1084,1070
" ","VSB SB Activities of households as employers of domestic personnel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V97000 97000 Activities of households as employers of domestic personnel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V970000 970000 Activities of households as employers of domestic personnel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UDLREC Discharge to recipient"
" ","ETOT Industries and households",329284,330352,335892,355310,341254,355592,303033,298038,308460,290793,308854,305265,288422,290612,301380
" ","EHUSHOLD Households",11400,10931,10553,10175,10014,9600,8438,8435,6438,6386,6177,5852,5874,5795,5790
" ","EV Total industries",317884,319421,325339,345135,331239,345992,294595,289604,302022,284407,302677,299413,282548,284817,295590
" ","VA A Agriculture, forestry and fishing",290456,294450,299578,320760,308190,319754,273887,269120,280715,262391,280632,276963,260816,262552,274073
" ","V01000 01000 Agriculture and horticulture",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
